,Precision,Recall,Accuracy,Substitution Error,Miss Error,False Alarm Error,Total Error,Chroma Precision,Chroma Recall,Chroma Accuracy,Chroma Substitution Error,Chroma Miss Error,Chroma False Alarm Error,Chroma Total Error,track
0,0.689180737961,0.739845585767,0.554744525547,0.111027190332,0.149127223901,0.222641826116,0.482796240349,0.755003126954,0.810506881504,0.641727574751,0.0403658945955,0.149127223901,0.222641826116,0.412134944612,0_6___D_i_e_S_o_n_n_e___i_n_p_u_t
1,0.697360997931,0.764499725124,0.574045407637,0.101498075866,0.13400219901,0.230277625069,0.465777899945,0.744060678242,0.815695437053,0.636973437081,0.0503023639362,0.13400219901,0.230277625069,0.414582188015,0_4___C_h_r_i_s_t_e_D_u_B_e_i_s_t_a_n_d___i_n_p_u_t
2,0.739636363636,0.775367341281,0.609114668409,0.0869143332409,0.137718325478,0.186027169393,0.410659828112,0.791537190083,0.829775436651,0.680962402594,0.0325062378708,0.137718325478,0.186027169393,0.356251732742,0_2___A_c_h_L_i_e_b_e_n_C_h_r_i_s_t_e_n___i_n_p_u_t
3,0.706245338035,0.774464604402,0.585770528684,0.0941403926234,0.131395002974,0.227989292088,0.453524687686,0.756153793992,0.829193932183,0.654247829148,0.0394110648424,0.131395002974,0.227989292088,0.398795359905,1_0___N_u_n_B_i_t_t_e_n___i_n_p_u_t
4,0.745126010461,0.752400768246,0.598396130346,0.0764244558259,0.171174775928,0.180937900128,0.428537131882,0.790141068315,0.7978553137,0.658346539884,0.0309699103713,0.171174775928,0.180937900128,0.383082586428,0_5___D_i_e_N_a_c_h_t___i_n_p_u_t
5,0.725029726516,0.806192155134,0.617416251793,0.0874834728955,0.10632437197,0.218267959454,0.412075804319,0.752972651605,0.837263111503,0.65684155934,0.0564125165271,0.10632437197,0.218267959454,0.381004847951,0_3___C_h_r_i_s_t_e_d_e_r_d_u_b_i_s_t_T_a_g_u_n_d_L_i_c_h_t___i_n_p_u_t
6,0.703875675163,0.844474761255,0.623102088751,0.0719645293315,0.0835607094134,0.283310595725,0.43883583447,0.735051644082,0.881878126421,0.669168391994,0.0345611641655,0.0835607094134,0.283310595725,0.401432469304,0_1___A_c_h_G_o_t_t_u_n_d_H_e_r_r___i_n_p_u_t
7,0.801712075068,0.827949676981,0.687222183024,0.0742094525672,0.0978408704522,0.13056783407,0.302618157089,0.847312536011,0.87504250255,0.755855789706,0.0271166269976,0.0978408704522,0.13056783407,0.25552533152,0_8___F_u_e_r_D_e_i_n_e_n_T_h_r_o_n___i_n_p_u_t
8,0.690537724052,0.784078000757,0.580204539087,0.0962703521393,0.119651647103,0.255111700114,0.471033699356,0.735389745727,0.835005679667,0.642087640122,0.0453426732298,0.119651647103,0.255111700114,0.420106020447,0_9___J_e_s_u_s___i_n_p_u_t
9,0.746531859864,0.813546293133,0.637464864141,0.0666211137684,0.119832593099,0.209600273317,0.396053980184,0.779214671996,0.849162965494,0.684475043029,0.0310044414076,0.119832593099,0.209600273317,0.360437307824,0_7___H_e_r_r_G_o_t_t___i_n_p_u_t
