,Precision,Recall,Accuracy,Substitution Error,Miss Error,False Alarm Error,Total Error,Chroma Precision,Chroma Recall,Chroma Accuracy,Chroma Substitution Error,Chroma Miss Error,Chroma False Alarm Error,Chroma Total Error,track
0,0.766515628761,0.705538431901,0.580732883011,0.0675977653631,0.226863802736,0.147312656521,0.44177422462,0.798108014776,0.734617607397,0.619495910261,0.0385185898671,0.226863802736,0.147312656521,0.412695049123,M_A_P_S___M_U_S_-_c_h_p_n_-_p_1_5___A_k_P_n_C_G_d_D___i_n_p_u_t
1,0.672998232681,0.642451109535,0.489613659004,0.12974972135,0.227799169115,0.182409565306,0.539958455771,0.722249643086,0.689467017935,0.544971447336,0.0827338129496,0.227799169115,0.182409565306,0.492942547371,M_A_P_S___M_U_S_-_s_c_n_1_6___2___A_k_P_n_B_c_h_t___i_n_p_u_t
2,0.758188840496,0.471822774971,0.410109612666,0.0730664593859,0.455110765643,0.077413218238,0.605590443267,0.816402333799,0.508049174627,0.455954839598,0.0368400597296,0.455110765643,0.077413218238,0.569364043611,M_A_P_S___M_U_S_-_s_c_n_1_6___3___S_t_b_g_T_G_d_2___i_n_p_u_t
3,0.723408582469,0.610643776824,0.495059151009,0.0903433476395,0.299012875536,0.14313304721,0.532489270386,0.751830384381,0.634635193133,0.524715233668,0.0663519313305,0.299012875536,0.14313304721,0.508497854077,M_A_P_S___M_U_S_-_s_c_n_1_5___1_1___E_N_S_T_D_k_A_m___i_n_p_u_t
4,0.79808674654,0.400587385203,0.363724867725,0.0614656659363,0.53794694886,0.0398815906018,0.639294205398,0.856676263893,0.429995493606,0.401137969775,0.0320575575342,0.53794694886,0.0398815906018,0.609886096996,M_A_P_S___M_U_S_-_s_c_h_u___1_4_3___1___E_N_S_T_D_k_A_m___i_n_p_u_t
5,0.656785587541,0.644251049452,0.481984190208,0.0709532097881,0.28479574076,0.265711067882,0.621460018429,0.690583053253,0.677403501587,0.519675762289,0.0378007576533,0.28479574076,0.265711067882,0.588307566295,M_A_P_S___M_U_S_-_l_i_z___e_t_5___A_k_P_n_C_G_d_D___i_n_p_u_t
6,0.126950891935,0.0643005156042,0.0445850628429,0.340215032757,0.595484451639,0.101983576018,1.03768306041,0.259494455541,0.131433714513,0.0955836090195,0.273081833848,0.595484451639,0.101983576018,0.970549861506,M_A_P_S___M_U_S_-_m_z___3_3_3___3___E_N_S_T_D_k_C_l___i_n_p_u_t
7,0.623566196942,0.535877559133,0.40489487151,0.124045731281,0.340076709586,0.199452284724,0.66357472559,0.693142587913,0.59566981014,0.471367486514,0.0642534802742,0.340076709586,0.199452284724,0.603782474584,M_A_P_S___M_U_S_-_l_i_z___e_t_6___A_k_P_n_C_G_d_D___i_n_p_u_t
8,0.703425923026,0.707792412402,0.545120308689,0.0679984875221,0.224209100076,0.230416561633,0.522624149231,0.724485641813,0.728982858583,0.570755415207,0.0468080413411,0.224209100076,0.230416561633,0.50143370305,M_A_P_S___M_U_S_-_t_y___m_a_i___A_k_P_n_B_c_h_t___i_n_p_u_t
9,0.68507751938,0.508107622513,0.411899646798,0.145532947042,0.346359430445,0.0880384494453,0.579930826933,0.78730620155,0.583928491219,0.504364694471,0.0697120783363,0.346359430445,0.0880384494453,0.504109958227,M_A_P_S___M_U_S_-_c_h_p_n_-_p_1_6___A_k_P_n_S_t_g_b___i_n_p_u_t
